preface  前言,序

gullible  易受骗的;轻信的

superstitious  迷信的

credulity  轻信

cite  举出;引出

widespread  分布广的;普遍的

advance  提出

appeal  投合所好;有感染力;有吸引力

mentality  心理,思想;脑力

exaggerate  夸张;夸大

sake  缘故

geographer  \\n. a specialist in geography

ocular  眼睛的;凭视觉的

theoretical  \\a. of or based on theory

citizen  公民;市民

refute  驳斥

mast  桅杆

funnel  蒸汽机,轮船等的)烟囱

invisible  \\a. that can not be seen

horizon  地平线

phenomenon (pl. phenomena)  现象

curve  使成曲线
  曲线

follow  结果产生;得出

spherical  球形的

oval  卵形的(东西), 椭圆的(东西)

card  纸牌

analogy  类比; 相似

promptly  敏捷地;迅速地

  \\prompt a.

body  天体

disc  圆盘

cast  扔,投; 投射

eclipse  天文学)食

booklet  小册子

exchange  交换

trump  王牌

royal  皇家的; 王室的

statement  陈述;声明

ace  纸牌中的)"A"牌,爱司

foretell  预言

solar  \\a. of the sun

the solar systemthe sun and the planets which revolve round it
justify  证明……是正当的；为…辩护

say-so  's unsupported assertion 权威性声明；无证据的断言

Egyptian  埃及人；埃及的

predict  预言

bang  砰地

navigation  航海

calculation  计算

calculate  计算

calculator  计算器

counter  讨价还价的本钱；回击，反击

precarious  不安全的；根据不足的，靠不住的

exceptionally  \\ad. unusually

authority  权威；权力

ignoramus  无知的人

stray  走离；离题

specialty  专业

outline  \\vt. indicate the main ideas or facts of
  提纲

press  催促，逼迫

credulous  轻信的

burden  重负；负荷
