persuade  说服，劝服

librarian  图书馆管理员

property  财产

prelude  序幕；前奏曲

possession  拥有；所有权；财产

ownership  所有（权）


illustration  例；图例；插图

beefsteak  牛排

transfer  转移；调动

butcher  屠夫

icebox  \\n. a box where food is kept cool with blocks of ice; (AmE) refrigerator

bloodstream  血流

absorb  吸收

best-seller  畅销书

individual  个人

woodpulp  木（纸）浆

dip  浸；蘸

shiny  发亮的

restrain  抑制；控制，约束

dogeared  's ears （书页）卷角的

dilapidated  破旧的；倾坍的

loosen  使）松开

continual  不断的；频繁的

scribble  潦草书写；乱涂

preserve  保护；保存

intact  完整无损的

elegantly  优美地；雅致地
  \\elegant a.

bind (bound)  捆，绑；装订（书）

edition  书等的）版本；版

paradise  伊甸园；天堂

crayon  蜡笔； 颜色笔

original  最初的；原著的；原创作者的

painting  \\n. a painted picture; picture

statue  雕像

inseparable  \\a. impossible to separate from one another

manufacture  制造；（大量）生产

magnificent  华丽的；宏伟的

indispensable  必不可少的

conscious  有意识的；神志清醒

understanding  理解

fiction  小说

croon  低声吟唱

reader  \\n. person who reads

invariably  不变地；始终如一地

intelligent  聪明的

caviar(e)  鱼子酱

sharpen  \\v. become or make sharp(er)

disagreement  分歧；不一致
disagree vi
inquiry  询问

resume  中断后）重新开始

naturally  \\ad. of course; as one could have expected

humility  谦卑

solely  \\ad. not including anything else or any others; only

  \\sole a.

receptacle  容器

literally  确实地；简直

fruitfully  富有成果地

  \\fruitful a.

underline  在……下划线（表示强调）

forceful  \\a. strong; powerful

vertical  垂直的

emphasize  强调

asterisk  星号（即*）

doo-dad  小装饰物

sparingly  节约地

sequence  顺序；连续；一连串

relevant  有关的；适宜的

phrase  短语

end-paper  衬页

index  索引

fancy  别致的；花哨的

bookplate  's name, usu. pasted to the inside front cover of a book 藏书票

integrate  使成一整体

structure  结构

basic  主要的；基本的

unity  总体布局；统一
